coin,fundingRate,premium,time
HBAR,-8.3775e-06,-0.00056702,2026-02-06 20:00:00.016
HBAR,1.25e-05,-0.0003273841,2026-02-06 21:00:00.031
HBAR,-4.8473e-06,-0.0005387783,2026-02-06 22:00:00.032
HBAR,-1.29237e-05,-0.0006033898,2026-02-06 23:00:00.049
HBAR,-1.19425e-05,-0.0005955401,2026-02-07 00:00:00.064
HBAR,-7.968e-07,-0.0005063744,2026-02-07 01:00:00.036
HBAR,-2.66453e-05,-0.0007131627,2026-02-07 02:00:00.026
HBAR,-3.51001e-05,-0.0007808004,2026-02-07 03:00:00.021
HBAR,-3.09045e-05,-0.0007472357,2026-02-07 04:00:00.104
HBAR,-1.40874e-05,-0.0006126996,2026-02-07 05:00:00.063
HBAR,-3.80695e-05,-0.0008045557,2026-02-07 06:00:00.036
HBAR,-5.05663e-05,-0.0009045304,2026-02-07 07:00:00.008
HBAR,2.7958e-06,-0.0004776334,2026-02-07 08:00:00.048
HBAR,6.449e-06,-0.0004484083,2026-02-07 09:00:00.081
HBAR,1.25e-05,-0.0003455448,2026-02-07 10:00:00.020
HBAR,-1.19964e-05,-0.0005959709,2026-02-07 11:00:00.008
HBAR,-2.9713e-05,-0.0007377043,2026-02-07 12:00:00.031
HBAR,-2.36717e-05,-0.0006893732,2026-02-07 13:00:00.040
HBAR,-1.25358e-05,-0.0006002866,2026-02-07 14:00:00.008
HBAR,-2.95717e-05,-0.0007365739,2026-02-07 15:00:00.093
HBAR,-2.64705e-05,-0.0007117637,2026-02-07 16:00:00.146
HBAR,1.25e-05,-0.0002162439,2026-02-07 17:00:00.055
HBAR,3.1117e-06,-0.000475106,2026-02-07 18:00:00.022
HBAR,-2.64027e-05,-0.0007112218,2026-02-07 19:00:00.071
HBAR,3.5767e-06,-0.0004713865,2026-02-07 20:00:00.020
HBAR,-2.97811e-05,-0.0007382488,2026-02-07 21:00:00.089
HBAR,-2.2872e-06,-0.0005182979,2026-02-07 22:00:00.055
HBAR,8.0246e-06,-0.0004358033,2026-02-07 23:00:00.038
HBAR,-2.8649e-06,-0.0005229195,2026-02-08 00:00:00.042
HBAR,-8.134e-07,-0.0005065071,2026-02-08 01:00:00.003
HBAR,6.7124e-06,-0.000446301,2026-02-08 02:00:00.074
HBAR,1.25e-05,-0.0003898277,2026-02-08 03:00:00.113
HBAR,1.25e-05,-0.0003601001,2026-02-08 04:00:00.069
HBAR,1.03896e-05,-0.0004168828,2026-02-08 05:00:00.059
HBAR,-1.00328e-05,-0.0005802626,2026-02-08 06:00:00.031
HBAR,-1.99933e-05,-0.0006599463,2026-02-08 07:00:00.038
HBAR,-2.20924e-05,-0.0006767393,2026-02-08 08:00:00.113
HBAR,1.23199e-05,-0.0004014409,2026-02-08 09:00:00.040
HBAR,6.6174e-06,-0.0004470609,2026-02-08 10:00:00.031
HBAR,2.2005e-06,-0.000482396,2026-02-08 11:00:00.068
HBAR,-1.06256e-05,-0.0005850049,2026-02-08 12:00:00.077
HBAR,-8.4588e-06,-0.0005676705,2026-02-08 13:00:00.011
HBAR,-3.64677e-05,-0.0007917417,2026-02-08 14:00:00.051
HBAR,-4.29053e-05,-0.0008432421,2026-02-08 15:00:00.041
HBAR,-1.39759e-05,-0.0006118073,2026-02-08 16:00:00.023
HBAR,1.25e-05,-0.0003072069,2026-02-08 17:00:00.043
HBAR,-5.2815e-05,-0.0009225197,2026-02-08 18:00:00.023
HBAR,-8.62345e-05,-0.0011898758,2026-02-08 19:00:00.070
HBAR,-7.03296e-05,-0.0010626368,2026-02-08 20:00:00.046
HBAR,-4.24019e-05,-0.0008392154,2026-02-08 21:00:00.059
HBAR,-5.75282e-05,-0.000960226,2026-02-08 22:00:00.049
HBAR,-5.67324e-05,-0.0009538592,2026-02-08 23:00:00.015
HBAR,-3.14793e-05,-0.0007518343,2026-02-09 00:00:00.009
HBAR,-1.81824e-05,-0.000645459,2026-02-09 01:00:00.034
HBAR,-1.56108e-05,-0.0006248861,2026-02-09 02:00:00.118
HBAR,-1.72964e-05,-0.0006383715,2026-02-09 03:00:00.004
HBAR,-1.95054e-05,-0.0006560434,2026-02-09 04:00:00.091
HBAR,-3.26761e-05,-0.0007614089,2026-02-09 05:00:00.037
HBAR,-3.35466e-05,-0.0007683731,2026-02-09 06:00:00.020
HBAR,-4.5086e-06,-0.0005360685,2026-02-09 07:00:00.026
HBAR,-2.08684e-05,-0.0006669475,2026-02-09 08:00:00.013
HBAR,-4.0759e-06,-0.0005326073,2026-02-09 09:00:00.040
HBAR,1.25e-05,-0.0003887744,2026-02-09 10:00:00.131
HBAR,1.25e-05,-0.0003576266,2026-02-09 11:00:00.088
HBAR,-1.4633e-06,-0.0005117063,2026-02-09 12:00:00.030
HBAR,2.908e-07,-0.0004976737,2026-02-09 13:00:00.020
HBAR,-1.16555e-05,-0.0005932443,2026-02-09 14:00:00.015
HBAR,6.559e-07,-0.0004947528,2026-02-09 15:00:00.011
HBAR,1.25e-05,-0.0003419495,2026-02-09 16:00:00.001
HBAR,-7.0649e-06,-0.0005565192,2026-02-09 17:00:00.038
HBAR,-6.2328e-06,-0.0005498622,2026-02-09 18:00:00.060
HBAR,-9.443e-06,-0.0005755437,2026-02-09 19:00:00.023
HBAR,-3.37464e-05,-0.0007699709,2026-02-09 20:00:00.059
HBAR,6.6419e-06,-0.0004468648,2026-02-09 21:00:00.068
HBAR,1.25e-05,-0.0003076626,2026-02-09 22:00:00.065
HBAR,1.0899e-05,-0.0004128078,2026-02-09 23:00:00.046
HBAR,1.25e-05,-0.0003568707,2026-02-10 00:00:00.013
HBAR,1.25e-05,-0.0002807897,2026-02-10 01:00:00.012
HBAR,9.9104e-06,-0.0004207166,2026-02-10 02:00:00.055
HBAR,-5.6747e-06,-0.0005453974,2026-02-10 03:00:00.057
HBAR,1.25e-05,-0.0003001528,2026-02-10 04:00:00.071
HBAR,-1.48185e-05,-0.0006185481,2026-02-10 05:00:00.024
HBAR,5.2862e-06,-0.0004577101,2026-02-10 06:00:00.028
HBAR,4.7485e-06,-0.000462012,2026-02-10 07:00:00.090
HBAR,-5.2398e-05,-0.0009191843,2026-02-10 08:00:00.018
HBAR,-4.7226e-06,-0.000537781,2026-02-10 09:00:00.041
HBAR,-4.2912e-06,-0.0005343292,2026-02-10 10:00:00.028
HBAR,1.25e-05,-0.000350621,2026-02-10 11:00:00.100
HBAR,-1.0345e-06,-0.0005082764,2026-02-10 12:00:00.032
HBAR,6.2102e-06,-0.000450318,2026-02-10 13:00:00.106
HBAR,-2.81373e-05,-0.0007250982,2026-02-10 14:00:00.038
HBAR,-1.43063e-05,-0.00061445,2026-02-10 15:00:00.006
HBAR,-1.54143e-05,-0.0006233147,2026-02-10 16:00:00.009
HBAR,7.6837e-06,-0.00043853,2026-02-10 17:00:00.070
HBAR,-1.71802e-05,-0.0006374418,2026-02-10 18:00:00.065
HBAR,9.1274e-06,-0.000426981,2026-02-10 19:00:00.015
HBAR,-2.70918e-05,-0.0007167344,2026-02-10 20:00:00.053
HBAR,-1.27095e-05,-0.0006016762,2026-02-10 21:00:00.100
HBAR,-1.9466e-06,-0.0005155731,2026-02-10 22:00:00.070
HBAR,-1.3811e-06,-0.0005110486,2026-02-10 23:00:00.016
HBAR,6.795e-07,-0.0004945643,2026-02-11 00:00:00.036
HBAR,-7.3569e-06,-0.0005588556,2026-02-11 01:00:00.007
HBAR,6.0071e-06,-0.0004519433,2026-02-11 02:00:00.051
HBAR,7.0591e-06,-0.0004435275,2026-02-11 03:00:00.098
HBAR,7.3505e-06,-0.000441196,2026-02-11 04:00:00.071
HBAR,9.8044e-06,-0.0004215647,2026-02-11 05:00:00.030
HBAR,-1.92966e-05,-0.0006543724,2026-02-11 06:00:00.005
HBAR,-1.11082e-05,-0.0005888654,2026-02-11 07:00:00.062
HBAR,1.25e-05,-0.0003153315,2026-02-11 08:00:00.095
HBAR,1.25e-05,-0.000180407,2026-02-11 09:00:00.114
HBAR,1.25e-05,-0.0000415029,2026-02-11 10:00:00.048
HBAR,1.25e-05,-0.0001357921,2026-02-11 11:00:00.086
HBAR,1.25e-05,-0.0001438869,2026-02-11 12:00:00.022
HBAR,1.25e-05,-0.000278485,2026-02-11 13:00:00.055
HBAR,1.25e-05,-0.0002444069,2026-02-11 14:00:00.087
HBAR,1.25e-05,-0.000208783,2026-02-11 15:00:00.012
HBAR,1.25e-05,-0.000327738,2026-02-11 16:00:00.074
HBAR,1.25e-05,-0.0002250487,2026-02-11 17:00:00.077
HBAR,1.25e-05,-0.0002901221,2026-02-11 18:00:00.062
HBAR,1.25e-05,-0.0001883171,2026-02-11 19:00:00.045
HBAR,1.25e-05,-0.0001817841,2026-02-11 20:00:00.051
HBAR,1.25e-05,-0.0001252969,2026-02-11 21:00:00.053
HBAR,1.25e-05,-0.0000402967,2026-02-11 22:00:00.067
HBAR,1.25e-05,-0.000073421,2026-02-11 23:00:00.087
HBAR,1.25e-05,-0.0002322416,2026-02-12 00:00:00.006
HBAR,1.25e-05,-0.0001404837,2026-02-12 01:00:00.034
HBAR,1.25e-05,-0.0000821097,2026-02-12 02:00:00.037
HBAR,1.25e-05,-0.0000803307,2026-02-12 03:00:00.057
HBAR,1.25e-05,-0.0001306492,2026-02-12 04:00:00.004
HBAR,1.25e-05,-0.0001186029,2026-02-12 05:00:00.075
HBAR,1.25e-05,-0.0000356238,2026-02-12 06:00:00.077
HBAR,1.25e-05,-0.0000036996,2026-02-12 07:00:00.029
HBAR,1.25e-05,-0.0000061325,2026-02-12 08:00:00.036
HBAR,1.25e-05,0.0000124913,2026-02-12 09:00:00.054
HBAR,1.25e-05,0.0000038117,2026-02-12 10:00:00.022
HBAR,1.25e-05,-0.000000242,2026-02-12 11:00:00.008
HBAR,1.25e-05,-0.0000388939,2026-02-12 12:00:00.064
HBAR,1.25e-05,-0.0000778949,2026-02-12 13:00:00.056
HBAR,1.25e-05,-0.0000451046,2026-02-12 14:00:00.023
HBAR,1.25e-05,-0.0000434907,2026-02-12 15:00:00.004
HBAR,1.25e-05,-0.0000694841,2026-02-12 16:00:00.043
HBAR,1.25e-05,-0.0001683697,2026-02-12 17:00:00.026
HBAR,1.25e-05,-0.0002360749,2026-02-12 18:00:00.015
HBAR,1.25e-05,-0.0002625618,2026-02-12 19:00:00.053
HBAR,1.25e-05,-0.0001914234,2026-02-12 20:00:00.037
HBAR,1.25e-05,-0.0001714506,2026-02-12 21:00:00.043
HBAR,1.25e-05,-0.0000556902,2026-02-12 22:00:00.010
HBAR,1.25e-05,-0.0000766498,2026-02-12 23:00:00.072
HBAR,1.25e-05,-0.0000745401,2026-02-13 00:00:00.092
HBAR,1.25e-05,-0.0002616534,2026-02-13 01:00:00.083
HBAR,1.25e-05,-0.0001625976,2026-02-13 02:00:00.050
HBAR,1.25e-05,-0.0001054318,2026-02-13 03:00:00.009
