coin,fundingRate,premium,time
XLM,-4.128e-07,-0.0005033021,2026-02-06 20:00:00.016
XLM,-4.0189e-06,-0.0005321511,2026-02-06 21:00:00.031
XLM,7.026e-07,-0.0004943792,2026-02-06 22:00:00.032
XLM,1.2533e-06,-0.0004899739,2026-02-06 23:00:00.049
XLM,-8.8606e-06,-0.000570885,2026-02-07 00:00:00.064
XLM,3.2322e-06,-0.0004741421,2026-02-07 01:00:00.036
XLM,-1.4637e-06,-0.0005117099,2026-02-07 02:00:00.026
XLM,7.7664e-06,-0.000437869,2026-02-07 03:00:00.021
XLM,-1.692e-05,-0.0006353599,2026-02-07 04:00:00.104
XLM,-8.9641e-06,-0.0005717129,2026-02-07 05:00:00.063
XLM,-2.06623e-05,-0.0006652982,2026-02-07 06:00:00.036
XLM,-2.91136e-05,-0.0007329084,2026-02-07 07:00:00.008
XLM,-1.32419e-05,-0.0006059356,2026-02-07 08:00:00.048
XLM,-3.4471e-05,-0.0007757681,2026-02-07 09:00:00.081
XLM,-1.2205e-05,-0.0005976403,2026-02-07 10:00:00.020
XLM,1.04005e-05,-0.0004167959,2026-02-07 11:00:00.008
XLM,5.141e-06,-0.0004588719,2026-02-07 12:00:00.031
XLM,3.4561e-06,-0.0004723515,2026-02-07 13:00:00.040
XLM,-1.4613e-06,-0.0005116906,2026-02-07 14:00:00.008
XLM,-8.9158e-06,-0.0005713268,2026-02-07 15:00:00.093
XLM,2.8737e-06,-0.0004770108,2026-02-07 16:00:00.146
XLM,-9.016e-07,-0.0005072126,2026-02-07 17:00:00.055
XLM,-8.1019e-06,-0.0005648155,2026-02-07 18:00:00.022
XLM,-9.4517e-06,-0.0005756133,2026-02-07 19:00:00.071
XLM,1.25e-05,-0.0003830068,2026-02-07 20:00:00.020
XLM,-1.80447e-05,-0.0006443576,2026-02-07 21:00:00.089
XLM,5.1681e-06,-0.0004586556,2026-02-07 22:00:00.055
XLM,3.8476e-06,-0.0004692191,2026-02-07 23:00:00.038
XLM,1.22427e-05,-0.0004020581,2026-02-08 00:00:00.042
XLM,-5.4152e-06,-0.0005433214,2026-02-08 01:00:00.003
XLM,-3.13288e-05,-0.0007506302,2026-02-08 02:00:00.074
XLM,-1.03351e-05,-0.0005826807,2026-02-08 03:00:00.113
XLM,-2.45061e-05,-0.0006960491,2026-02-08 04:00:00.069
XLM,6.717e-07,-0.0004946264,2026-02-08 05:00:00.059
XLM,-7.87e-07,-0.0005062963,2026-02-08 06:00:00.031
XLM,-1.3015e-06,-0.0005104122,2026-02-08 07:00:00.038
XLM,8.1812e-06,-0.00043455,2026-02-08 08:00:00.113
XLM,1.25e-05,-0.0003705585,2026-02-08 09:00:00.040
XLM,3.724e-06,-0.0004702083,2026-02-08 10:00:00.031
XLM,-6.0338e-06,-0.0005482703,2026-02-08 11:00:00.068
XLM,-3.43947e-05,-0.0007751574,2026-02-08 12:00:00.077
XLM,-1.9903e-05,-0.0006592238,2026-02-08 13:00:00.011
XLM,-2.64796e-05,-0.0007118369,2026-02-08 14:00:00.051
XLM,-2.44755e-05,-0.0006958043,2026-02-08 15:00:00.041
XLM,-4.936e-06,-0.0005394878,2026-02-08 16:00:00.023
XLM,-9.6762e-06,-0.0005774099,2026-02-08 17:00:00.043
XLM,-1.99244e-05,-0.0006593955,2026-02-08 18:00:00.023
XLM,-1.22784e-05,-0.0005982272,2026-02-08 19:00:00.070
XLM,-3.5542e-06,-0.0005284333,2026-02-08 20:00:00.046
XLM,-1.33169e-05,-0.0006065355,2026-02-08 21:00:00.059
XLM,-1.31036e-05,-0.0006048287,2026-02-08 22:00:00.049
XLM,-1.52539e-05,-0.0006220313,2026-02-08 23:00:00.015
