coin,fundingRate,premium,time
XRP,-1.43506e-05,-0.0006148047,2026-02-06 20:00:00.016
XRP,-2.48436e-05,-0.0006987488,2026-02-06 21:00:00.031
XRP,-2.32666e-05,-0.000686133,2026-02-06 22:00:00.032
XRP,-2.46888e-05,-0.0006975101,2026-02-06 23:00:00.049
XRP,-4.38349e-05,-0.0008506792,2026-02-07 00:00:00.064
XRP,-2.75265e-05,-0.0007202122,2026-02-07 01:00:00.036
XRP,-1.21685e-05,-0.0005973483,2026-02-07 02:00:00.026
XRP,-2.06201e-05,-0.0006649607,2026-02-07 03:00:00.021
XRP,-1.76907e-05,-0.0006415255,2026-02-07 04:00:00.104
XRP,-2.31618e-05,-0.0006852947,2026-02-07 05:00:00.063
XRP,-2.15365e-05,-0.0006722921,2026-02-07 06:00:00.036
XRP,-1.99276e-05,-0.0006594211,2026-02-07 07:00:00.008
XRP,-1.99089e-05,-0.0006592709,2026-02-07 08:00:00.048
XRP,-1.17628e-05,-0.0005941023,2026-02-07 09:00:00.081
XRP,-9.6292e-06,-0.000577034,2026-02-07 10:00:00.020
XRP,-2.05396e-05,-0.0006643164,2026-02-07 11:00:00.008
XRP,-1.39582e-05,-0.0006116653,2026-02-07 12:00:00.031
XRP,-1.8642e-05,-0.0006491359,2026-02-07 13:00:00.040
XRP,-2.23972e-05,-0.0006791778,2026-02-07 14:00:00.008
XRP,-1.78505e-05,-0.000642804,2026-02-07 15:00:00.093
XRP,-5.2785e-06,-0.0005422283,2026-02-07 16:00:00.146
XRP,-2.31074e-05,-0.0006848596,2026-02-07 17:00:00.055
XRP,-2.03543e-05,-0.0006628341,2026-02-07 18:00:00.022
XRP,-2.63585e-05,-0.0007108678,2026-02-07 19:00:00.071
XRP,-2.55038e-05,-0.0007040303,2026-02-07 20:00:00.020
XRP,-2.4573e-05,-0.0006965838,2026-02-07 21:00:00.089
XRP,-2.50914e-05,-0.0007007309,2026-02-07 22:00:00.055
XRP,-2.34818e-05,-0.0006878544,2026-02-07 23:00:00.038
XRP,-2.80089e-05,-0.000724071,2026-02-08 00:00:00.042
XRP,-1.77612e-05,-0.0006420894,2026-02-08 01:00:00.003
XRP,-1.81578e-05,-0.0006452624,2026-02-08 02:00:00.074
XRP,-1.94764e-05,-0.0006558115,2026-02-08 03:00:00.113
XRP,-1.61895e-05,-0.0006295159,2026-02-08 04:00:00.069
XRP,-1.59065e-05,-0.0006272522,2026-02-08 05:00:00.059
XRP,-1.82108e-05,-0.0006456861,2026-02-08 06:00:00.031
XRP,-2.59234e-05,-0.0007073872,2026-02-08 07:00:00.038
XRP,-1.39106e-05,-0.0006112847,2026-02-08 08:00:00.113
XRP,-9.4243e-06,-0.0005753943,2026-02-08 09:00:00.040
XRP,-2.19518e-05,-0.0006756147,2026-02-08 10:00:00.031
XRP,-2.14181e-05,-0.0006713449,2026-02-08 11:00:00.068
XRP,-2.11929e-05,-0.0006695433,2026-02-08 12:00:00.077
XRP,-1.45371e-05,-0.0006162971,2026-02-08 13:00:00.011
XRP,-2.77735e-05,-0.0007221881,2026-02-08 14:00:00.051
XRP,-3.63526e-05,-0.0007908208,2026-02-08 15:00:00.041
XRP,-4.19191e-05,-0.0008353526,2026-02-08 16:00:00.023
XRP,-3.90388e-05,-0.0008123103,2026-02-08 17:00:00.043
XRP,-3.44828e-05,-0.0007758622,2026-02-08 18:00:00.023
XRP,-2.92715e-05,-0.0007341723,2026-02-08 19:00:00.070
XRP,-3.2871e-05,-0.0007629679,2026-02-08 20:00:00.046
XRP,-2.71209e-05,-0.0007169673,2026-02-08 21:00:00.059
XRP,-3.45655e-05,-0.0007765239,2026-02-08 22:00:00.049
XRP,-2.76097e-05,-0.0007208775,2026-02-08 23:00:00.015
XRP,-2.63255e-05,-0.0007106039,2026-02-09 00:00:00.009
XRP,-2.23515e-05,-0.0006788118,2026-02-09 01:00:00.034
XRP,-2.27308e-05,-0.0006818466,2026-02-09 02:00:00.118
XRP,-1.47371e-05,-0.0006178971,2026-02-09 03:00:00.004
XRP,-1.10794e-05,-0.0005886352,2026-02-09 04:00:00.091
XRP,-9.713e-06,-0.0005777041,2026-02-09 05:00:00.037
XRP,-9.5818e-06,-0.0005766542,2026-02-09 06:00:00.020
XRP,-1.08133e-05,-0.0005865063,2026-02-09 07:00:00.026
XRP,-2.34315e-05,-0.0006874521,2026-02-09 08:00:00.013
XRP,-3.23161e-05,-0.0007585287,2026-02-09 09:00:00.040
XRP,-3.02443e-05,-0.0007419543,2026-02-09 10:00:00.131
XRP,-2.49973e-05,-0.0006999781,2026-02-09 11:00:00.088
XRP,-1.05249e-05,-0.0005841991,2026-02-09 12:00:00.030
XRP,-1.09357e-05,-0.0005874859,2026-02-09 13:00:00.020
XRP,-7.4955e-06,-0.0005599639,2026-02-09 14:00:00.015
XRP,2.1393e-06,-0.0004828859,2026-02-09 15:00:00.011
XRP,-8.636e-07,-0.000506909,2026-02-09 16:00:00.001
XRP,-3.981e-07,-0.0005031849,2026-02-09 17:00:00.038
XRP,-4.2804e-06,-0.0005342432,2026-02-09 18:00:00.060
XRP,-6.4544e-06,-0.0005516348,2026-02-09 19:00:00.023
XRP,-1.12587e-05,-0.0005900698,2026-02-09 20:00:00.059
XRP,-1.5128e-05,-0.0006210243,2026-02-09 21:00:00.068
XRP,-2.14724e-05,-0.0006717788,2026-02-09 22:00:00.065
XRP,-1.87335e-05,-0.0006498682,2026-02-09 23:00:00.046
XRP,-1.5935e-05,-0.0006274799,2026-02-10 00:00:00.013
XRP,-1.3082e-05,-0.0006046559,2026-02-10 01:00:00.012
XRP,-5.5699e-06,-0.0005445589,2026-02-10 02:00:00.055
XRP,-1.29354e-05,-0.0006034831,2026-02-10 03:00:00.057
XRP,-1.83877e-05,-0.0006471013,2026-02-10 04:00:00.071
XRP,-1.17441e-05,-0.0005939526,2026-02-10 05:00:00.024
XRP,-7.944e-06,-0.000563552,2026-02-10 06:00:00.028
XRP,-1.57267e-05,-0.0006258139,2026-02-10 07:00:00.090
XRP,-9.2419e-06,-0.0005739351,2026-02-10 08:00:00.018
XRP,-6.1535e-06,-0.0005492277,2026-02-10 09:00:00.041
XRP,-1.03422e-05,-0.0005827376,2026-02-10 10:00:00.028
XRP,-2.27679e-05,-0.0006821429,2026-02-10 11:00:00.100
XRP,-2.29363e-05,-0.0006834903,2026-02-10 12:00:00.032
XRP,-3.56759e-05,-0.0007854073,2026-02-10 13:00:00.106
XRP,-4.02392e-05,-0.0008219133,2026-02-10 14:00:00.038
XRP,-3.57684e-05,-0.0007861473,2026-02-10 15:00:00.006
XRP,-2.74458e-05,-0.0007195668,2026-02-10 16:00:00.009
XRP,-2.11434e-05,-0.0006691476,2026-02-10 17:00:00.070
XRP,-2.75698e-05,-0.0007205583,2026-02-10 18:00:00.065
XRP,-1.91844e-05,-0.0006534753,2026-02-10 19:00:00.015
XRP,-1.76444e-05,-0.000641155,2026-02-10 20:00:00.053
XRP,-2.3827e-05,-0.0006906161,2026-02-10 21:00:00.100
XRP,-3.01015e-05,-0.0007408117,2026-02-10 22:00:00.070
XRP,-2.653e-05,-0.0007122404,2026-02-10 23:00:00.016
XRP,-3.49649e-05,-0.0007797194,2026-02-11 00:00:00.036
XRP,-2.59022e-05,-0.0007072172,2026-02-11 01:00:00.007
XRP,-3.1305e-05,-0.0007504403,2026-02-11 02:00:00.051
XRP,-3.0432e-05,-0.0007434564,2026-02-11 03:00:00.098
XRP,-3.06743e-05,-0.0007453943,2026-02-11 04:00:00.071
XRP,-3.29884e-05,-0.0007639071,2026-02-11 05:00:00.030
XRP,-2.13189e-05,-0.0006705515,2026-02-11 06:00:00.005
XRP,-1.80865e-05,-0.0006446922,2026-02-11 07:00:00.062
XRP,-1.26216e-05,-0.0006009727,2026-02-11 08:00:00.095
XRP,-1.16245e-05,-0.0005929956,2026-02-11 09:00:00.114
XRP,-1.59386e-05,-0.000627509,2026-02-11 10:00:00.048
XRP,-1.04616e-05,-0.0005836931,2026-02-11 11:00:00.086
XRP,6.534e-07,-0.0004947726,2026-02-11 12:00:00.022
XRP,-9.0004e-06,-0.0005720028,2026-02-11 13:00:00.055
XRP,-5.919e-06,-0.0005473519,2026-02-11 14:00:00.087
XRP,-1.27723e-05,-0.0006021784,2026-02-11 15:00:00.012
XRP,-4.1016e-05,-0.0008281283,2026-02-11 16:00:00.074
XRP,-3.44961e-05,-0.0007759686,2026-02-11 17:00:00.077
XRP,-2.09655e-05,-0.0006677236,2026-02-11 18:00:00.062
XRP,-1.35453e-05,-0.0006083627,2026-02-11 19:00:00.045
XRP,-1.55389e-05,-0.0006243116,2026-02-11 20:00:00.051
XRP,-1.40754e-05,-0.0006126031,2026-02-11 21:00:00.053
XRP,-1.44988e-05,-0.0006159901,2026-02-11 22:00:00.067
XRP,-1.09719e-05,-0.0005877755,2026-02-11 23:00:00.087
XRP,-1.42767e-05,-0.0006142137,2026-02-12 00:00:00.006
XRP,-8.0021e-06,-0.0005640167,2026-02-12 01:00:00.034
XRP,-1.24956e-05,-0.0005999647,2026-02-12 02:00:00.037
